,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
53,Sturm,1.20046,-0.35680,999.94328,-100.21967,0.78496,Alfvensalen,-0.22652,-2.39472,5474.14719,-89186.37840,True,False,9.99489
54,Conradt,1.35665,-0.16135,999.71591,-100.88421,0.35497,Syster och Bro,1.24352,-1.64625,5474.91208,-89185.81253,True,False,17.69070
55,Conradt,1.13154,0.00985,999.75196,-100.76556,-0.02168,Lindstedvägen 24,1.13466,2.34497,5476.94905,-89187.69707,True,False,6.45286
56,Maki,1.06893,-0.06039,999.77434,-100.69120,0.13286,Lindstedvägen 24,0.98688,-0.07386,5473.18772,-89185.76138,True,False,3.33352
57,Sturm,1.23784,-0.26008,999.89768,-100.39508,0.57217,alfvensalen,0.97123,-1.23170,5473.35194,-89186.09144,True,False,11.84095
58,Sturm,-0.01805,1.05196,999.72600,-100.83769,-2.31431,Östra Station,1.51842,-0.72195,5474.73318,-89183.24980,True,False,-51.03958
59,Sturm,1.51588,-0.50100,999.94416,-100.16996,1.10221,alfvensalen,-1.15768,-1.74959,5475.22128,-89186.20240,True,False,25.76591
60,Conradt,1.45516,-0.48945,999.71510,-100.83909,1.07678,Biblioteket,-3.17068,0.67010,5479.64745,-89188.33210,True,False,22.61573
61,Maki,-0.22513,1.49890,999.72299,-100.83195,-3.29758,7-11,-0.66369,-0.27316,5478.91031,-89185.98871,True,False,-61.39516
62,Sturm,0.12622,1.23183,999.76346,-100.74652,-2.71003,7-11,0.80177,0.53198,5473.66382,-89185.22720,True,False,-43.80742
63,Maki,0.69683,0.31961,999.93555,-100.22586,-0.70314,Östra Station,0.69051,-0.19845,5474.51725,-89185.89172,True,False,-15.19063
64,Sturm,1.60503,-0.46305,999.91033,-100.30977,1.01872,Lindstedvägen 24,-0.54353,1.52585,5473.42741,-89185.97076,True,False,30.20691
65,Sturm,0.18074,0.91516,999.86360,-100.39342,-2.01334,7-11,-0.63129,-0.11814,5476.48288,-89187.24139,True,False,-41.03105
66,Maki,-0.02897,0.75942,999.85203,-100.47019,-1.67072,Östra Station,0.10796,1.55964,5474.42730,-89186.43586,True,False,-51.52236
67,Sturm,-0.78356,1.77825,999.86414,-100.47947,-3.91215,Entré,1.23848,-2.16987,5471.95196,-89187.06020,True,False,-89.24592
68,Sturm,2.71255,-1.50515,999.87311,-100.45924,3.31133,Biblioteket,-0.97359,-0.37214,5472.51022,-89184.31762,True,False,85.56413
69,Sturm,1.06981,-0.19604,999.64224,-101.08945,0.43128,Biblioteket,1.63102,-1.36252,5472.13972,-89185.16367,True,False,3.31185
70,Conradt,0.23596,0.79455,999.86503,-100.46194,-1.74801,Östra Station,-2.00012,-3.54134,5477.49751,-89187.92852,True,False,-38.26930
71,Sturm,1.39163,-0.10412,999.91725,-100.26319,0.22906,7-11,-1.13263,-0.76764,5475.65513,-89185.52921,True,False,19.54001
72,Maki,0.06161,1.00792,999.85366,-100.46229,-2.21742,7-11,0.27289,-0.39381,5473.25202,-89185.84063,True,False,-46.99244
73,Maki,1.66531,-0.80378,999.90709,-100.29901,1.76831,Entré,1.46339,0.64421,5478.41972,-89184.69309,True,False,33.21902
74,Sturm,0.99518,-0.03804,999.94670,-100.17388,0.08370,7-11,-0.21914,0.29800,5476.37957,-89187.73794,True,False,-0.26741
75,Maki,1.39664,-0.47367,999.85314,-100.45424,1.04207,Entré,1.21207,-0.47652,5472.71795,-89184.72552,True,False,19.75873
76,Sturm,1.01211,0.11188,999.90950,-100.30136,-0.24614,7-11,-1.05808,0.79683,5475.56386,-89187.21766,True,False,0.56038
77,Sturm,-0.83587,1.83652,999.75673,-100.75074,-4.04035,Lindstedvägen 24,-0.96900,0.32126,5472.12020,-89183.91184,True,False,-91.91498
78,Conradt,1.98137,-0.87708,999.89386,-100.37044,1.92957,Syster och Bro,0.60193,1.47311,5477.07023,-89189.07664,True,False,49.01553
79,Conradt,0.72328,0.22547,999.73712,-100.81252,-0.49604,Lindstedvägen 24,-0.97163,0.01232,5474.63299,-89185.90314,True,False,-13.96728
80,Sturm,1.19877,-0.07900,999.87010,-100.47420,0.17379,alfvensalen,0.53470,0.95015,5475.87347,-89186.44512,True,False,9.87352
81,Maki,1.37097,-0.30500,999.77243,-100.69009,0.67101,Entré,-0.26266,-0.50476,5473.28743,-89186.60261,True,False,18.43495
82,Sturm,3.85384,-2.82537,999.75689,-100.71580,6.21582,Biblioteket,-0.32135,0.76828,5471.25650,-89185.65733,True,False,142.57040
83,Sturm,0.58846,0.61678,999.87046,-100.45270,-1.35691,Östra Station,0.02543,-0.04827,5475.30908,-89186.65964,True,False,-20.64192
84,Conradt,0.61773,0.44545,999.86574,-100.38944,-0.98000,Östra Station,1.31369,1.23431,5475.26251,-89186.08327,True,False,-19.18077
85,Sturm,1.98667,-0.80662,999.83031,-100.58708,1.77456,Biblioteket,0.39144,1.11443,5473.61083,-89186.17682,True,False,49.24859
86,Conradt,0.69338,0.36831,999.77346,-100.70293,-0.81029,Alfvensalen,0.07656,0.67430,5475.45546,-89184.64974,True,False,-15.44421
87,Maki,-0.55687,1.53409,999.81927,-100.53845,-3.37500,Alfvensalen,1.01699,1.05634,5477.04662,-89186.55611,True,False,-77.93389
88,Sturm,0.65309,0.25383,999.71473,-100.87383,-0.55844,Lindstedvägen 24,0.01980,-0.70920,5474.32863,-89187.93781,True,False,-17.48830
89,Sturm,1.39857,-0.50202,999.65075,-101.05859,1.10445,Biblioteket,0.81505,-0.93342,5472.24788,-89186.65372,True,False,19.75365
90,Conradt,2.28881,-1.14658,999.90734,-100.27607,2.52247,Syster och Bro,-1.40118,1.62922,5478.63730,-89189.02626,Tru,False,64.39432
91,Sturm,1.46539,-0.48504,999.75746,-100.77921,1.06709,Syster och Bro,-1.86188,-1.07371,5475.82418,-89185.62604,True,False,23.14831
92,Maki,1.38554,-0.39779,999.95495,-100.15928,0.87515,Alfvensalen,1.05753,0.20072,5473.69468,-89188.20421,True,False,19.25462
93,Conradt,0.35177,0.78024,999.89524,-100.34562,-1.71652,7-11,0.24337,0.30107,5476.86695,-89187.72093,True,False,-32.46371
94,Sturm,0.45351,0.30672,999.61982,-101.18175,-0.67478,Syster och Bro,1.61688,-3.30178,5473.71322,-89185.61502,True,False,-27.51467
95,Sturm,1.39454,-0.30042,999.72548,-100.79782,0.66093,Syster och Bro,1.63935,1.98175,5473.25712,-89186.67822,True,False,19.58949
96,Maki,1.90746,-0.76632,999.77709,-100.68444,1.68591,Biblioteket,0.68697,-1.12229,5481.00463,-89186.21149,True,False,45.26179
97,Maki,1.18841,-0.35940,999.85331,-100.46899,0.79069,Lindstedvägen 24,0.75618,-0.42300,5479.56318,-89185.89136,True,False,9.34701
98,Sturm,0.68768,0.11335,999.89316,-100.34959,-0.24937,7-11,0.26926,-2.17936,5475.21217,-89185.50765,True,False,-15.66929
99,Sturm,0.67099,0.54312,999.71954,-100.86402,-1.19486,Alfvensalen,-1.79151,-0.74617,5473.81982,-89185.93279,True,False,-16.59059
100,Conradt,1.69434,-0.56692,999.86023,-100.44180,1.24723,Entré,1.00579,2.50864,5474.97263,-89181.28436,True,False,34.64693
101,Sturm,2.02522,-0.96464,999.73695,-100.77981,2.12221,Biblioteket,-0.23121,-2.21647,5476.84987,-89187.76549,True,False,51.12954
102,Maki,2.33203,-1.15896,999.96155,-100.15967,2.54970,Syster och Bro,0.70851,0.64428,5477.34761,-89184.61472,True,False,66.58242
103,Conradt,0.30308,0.71226,999.87028,-100.37653,-1.56697,Östra Station,-1.71389,-2.08633,5472.80158,-89185.76563,True,False,-34.91087
104,Sturm,0.77781,0.24331,999.71893,-100.88516,-0.53529,Lindstedvägen 24,0.38958,-1.38816,5474.63851,-89186.00673,True,False,-11.24991
105,Maki,0.19952,0.97837,999.81081,-100.57546,-2.15242,7-11,0.10835,-0.31628,5473.74264,-89185.40994,True,False,-40.11883
106,Sturm,0.36347,0.47071,999.96791,-100.14610,-1.03556,7-11,1.52951,-2.43084,5473.37950,-89184.82406,True,False,-31.84251
107,Sturm,1.45562,-0.42861,999.73195,-100.77341,0.94293,Syster och Bro,0.35785,-1.23169,5471.09518,-89185.76354,True,False,22.64721
108,Maki,0.98700,0.10026,999.95165,-100.17662,-0.22057,Östra Station,-0.68734,-0.62410,5474.80307,-89185.11490,True,False,-0.67399
109,Sturm,0.61000,0.29026,999.74772,-100.77687,-0.63856,Alfvensalen,-3.27523,0.57093,5473.70069,-89185.94718,True,False,-19.62633
110,Conradt,0.74887,0.19197,999.80751,-100.61924,-0.42232,Alfvensalen,0.92930,1.00378,5473.71377,-89185.82123,True,False,-12.65260
111,Sturm,1.34235,-0.13955,999.67826,-100.93186,0.30701,Syster och Bro,-1.42652,3.00396,5475.84202,-89187.85985,True,False,16.95680
112,Sturm,1.50351,-0.49186,999.92411,-100.31935,1.08210,Lindstedvägen 24,0.46994,1.10905,5473.79368,-89186.25512,True,False,25.13769
113,Conradt,-0.10357,1.57067,999.80766,-100.56243,-3.45548,Alfvensalen,2.32725,3.23829,5478.96585,-89188.33130,True,False,-55.27456
114,Maki,0.12892,0.91193,999.97664,-100.10777,-2.00625,Alfvensalen,0.21721,0.80632,5476.67718,-89184.88459,True,False,-43.56582
115,Maki,1.05576,-0.21228,999.77922,-100.68131,0.46702,Entré,0.16933,-0.14581,5476.42209,-89187.29892,True,False,2.67747
116,Maki,1.21597,-0.18676,999.79568,-100.63317,0.41087,Lindstedvägen 24,-0.20240,-0.85833,5476.40521,-89187.38183,True,False,10.69631
117,Sturm,1.13754,-0.22176,999.82761,-100.56177,0.48788,Lindstedvägen 24,1.59472,0.33523,5475.83148,-89181.44357,True,False,6.79074
118,Sturm,-0.76016,1.57208,999.94575,-100.25688,-3.45857,Syster och Bro,0.70988,-1.63339,5471.67516,-89185.28631,True,False,-88.03494
119,Maki,1.48445,-0.48018,999.89721,-100.33024,1.05639,Lindstedvägen 24,0.40657,-0.40957,5473.91574,-89185.53204,True,False,24.17121
120,Sturm,0.56251,0.42530,999.83736,-100.47306,-0.93565,7-11,2.64305,-3.35088,5475.30422,-89186.52462,True,False,-21.95575
121,Maki,0.76999,0.35843,999.80276,-100.58908,-0.78856,7-11,-1.07046,-0.64577,5476.36249,-89186.05651,True,False,-11.59889
122,Maki,-0.54643,1.46771,999.72736,-100.81252,-3.22896,7-11,0.39407,-0.66763,5474.01447,-89185.99627,True,False,-77.45770
123,Conradt,1.27667,-0.19320,999.88202,-100.40920,0.42505,Alfvensalen,-0.33260,0.04569,5476.09869,-89184.13836,True,False,13.77455
124,Maki,0.66946,0.42572,999.75198,-100.73491,-0.93658,Alfvensalen,-0.72317,0.77465,5477.76009,-89187.91795,True,False,-16.65112
125,Conradt,-0.27998,0.93572,999.74729,-100.77512,-2.05859,Östra Station,0.22187,-0.12977,5475.07429,-89182.78973,True,False,-64.12511
126,Sturm,0.64752,0.28461,999.80853,-100.57566,-0.62615,7-11,2.83877,-1.47769,5472.87886,-89186.45999,True,False,-17.71977
127,Sturm,1.08822,0.15249,999.64204,-101.10384,-0.33549,Syster och Bro,-0.10816,0.47875,5471.35990,-89184.19528,True,False,4.23201
128,Conradt,2.20198,-1.23846,999.69550,-100.93812,2.72461,Biblioteket,-0.23388,-0.61475,5473.89087,-89184.80153,True,False,59.94654
129,Sturm,1.00660,-0.01193,999.76798,-100.72632,0.02625,Lindstedvägen 24,0.05301,1.53501,5476.53782,-89187.95939,True,False,0.21412
130,Conradt,0.59579,0.36684,999.83187,-100.55363,-0.80706,7-11,1.24483,-0.85336,5473.14852,-89187.09388,True,False,-20.29442
131,Conradt,0.41149,0.54660,999.89891,-100.32453,-1.20252,Östra Station,-0.26928,-3.78874,5477.98575,-89187.86973,True,False,-29.47609
132,Maki,0.38264,0.52162,999.96690,-100.14579,-1.14756,7-11,-0.56303,0.11819,5474.10651,-89186.86994,True,False,-30.88472
133,Conradt,1.67200,-0.71143,999.78526,-100.66623,1.56514,Biblioteket,-0.36748,-1.16170,5476.19708,-89187.35838,True,False,33.49281
134,Conradt,2.42150,-1.37500,999.80004,-100.60106,3.02499,Biblioteket,0.08758,1.81873,5474.27117,-89187.08666,True,False,70.97484
135,Conradt,0.97464,0.49422,999.74633,-100.72776,-1.08729,7-11,-1.75220,-2.39953,5476.92942,-89186.25965,True,False,-1.39462
136,Conradt,1.31444,-0.22785,999.80276,-100.62408,0.50126,Entré,1.57698,0.91965,5473.76930,-89184.28007,True,False,15.62319
137,Maki,1.81833,-0.56744,999.85848,-100.45239,1.24837,Entré,0.33465,-0.41970,5472.72353,-89185.31184,True,False,40.84577
138,Conradt,0.54096,0.78205,999.88090,-100.40078,-1.72052,7-11,-2.54729,-2.07424,5475.42350,-89183.56190,True,False,-23.01178
139,Maki,2.48830,-1.61575,999.90160,-100.30253,3.55465,Biblioteket,0.35684,0.91050,5473.85255,-89185.44486,True,False,74.36588
140,Sturm,1.85045,-0.81157,999.77926,-100.69377,1.78546,Biblioteket,-0.59510,1.35572,5473.97861,-89186.54049,True,False,42.41197
141,Sturm,-2.42307,3.42198,999.83280,-100.51012,-7.52835,Biblioteket,-0.08586,2.31737,5473.23157,-89184.97687,True,False,-171.23728
142,Sturm,0.34101,0.25057,999.81823,-100.52860,-0.55125,7-11,0.79724,1.43679,5473.32133,-89185.93638,True,False,-33.04025
143,Maki,1.46939,-0.44832,999.96362,-100.13391,0.98631,Alfvensalen,-0.70915,-0.64267,5474.32848,-89185.73455,True,False,23.45119
144,Sturm,0.45803,0.60919,999.75595,-100.77960,-1.34021,7-11,-0.31956,-1.79295,5472.69201,-89186.19222,True,False,-27.22055
145,Sturm,1.32662,-0.35153,999.80029,-100.64145,0.77337,Entré,1.01250,-1.68850,5475.50563,-89187.04262,True,False,16.23120
146,Sturm,0.97921,0.01869,999.67423,-100.99589,-0.04113,Syster och Bro,-2.24694,0.19055,5474.64158,-89186.63655,True,False,-1.20225
147,Conradt,0.96442,-0.00824,999.70601,-100.91068,0.01813,Entré,1.19941,-1.21268,5477.71301,-89187.84162,True,False,-1.92621
148,Sturm,-0.28762,1.36507,999.92177,-100.23926,-3.00316,Entré,1.09208,1.13167,5472.81412,-89183.98858,True,False,-64.41991
149,Sturm,1.73644,-0.83816,999.80127,-100.61592,1.84396,Biblioteket,0.68758,-1.81066,5474.93981,-89186.58154,True,False,36.72239
150,Sturm,1.63544,-0.45171,999.78866,-100.69790,0.99376,Syster och Bro,-0.93414,1.88972,5474.76142,-89184.67457,Tru,False,31.66625
151,Sturm,-1.51125,2.54785,999.85992,-100.40626,-5.60526,Biblioteket,1.41190,-0.95907,5475.72250,-89184.66950,True,False,-125.63260
152,Conradt,1.46279,-0.44031,999.80513,-100.63261,0.96868,Syster och Bro,0.02500,0.66123,5477.10748,-89188.34458,True,False,23.04228
153,Conradt,1.31062,-0.55996,999.88601,-100.33365,1.23192,Lindstedvägen 24,0.96265,1.72575,5477.31223,-89187.01878,True,False,15.47383
154,Sturm,2.02157,-0.93273,999.82010,-100.60280,2.05201,Biblioteket,-0.15479,1.33574,5474.20979,-89185.61884,True,False,50.98855
155,Sturm,-0.63826,1.59898,999.66553,-101.00167,-3.51775,7-11,-1.11005,-0.54841,5474.91537,-89185.63137,True,False,-82.08047
156,Sturm,-0.33805,1.11014,999.68621,-100.99680,-2.44232,Östra Station,-0.36818,0.07921,5474.93648,-89186.56995,True,False,-67.05942
157,Conradt,0.30501,0.60584,999.82873,-100.50912,-1.33285,Östra Station,0.17115,-0.91714,5476.77892,-89186.34977,True,False,-34.83535
158,Sturm,0.89668,0.15498,999.66615,-101.02694,-0.34096,Entré,2.52733,0.87640,5475.03412,-89187.06009,True,False,-5.33284
159,Conradt,0.81000,0.22585,999.77468,-100.70893,-0.49686,Alfvensalen,-0.95743,-1.51330,5475.93899,-89186.66905,True,False,-9.61278
160,Conradt,2.06191,-1.28962,999.76338,-100.72879,2.83716,Biblioteket,0.67458,0.54682,5478.93286,-89188.62202,True,False,52.97725
161,Conradt,0.61537,0.49306,999.77110,-100.69962,-1.08474,7-11,-2.13363,-0.49620,5479.42896,-89187.69455,True,False,-19.34592
162,Sturm,1.16053,0.00151,999.91687,-100.33230,-0.00332,7-11,0.04996,-0.60602,5474.79348,-89185.95557,True,False,7.98515
163,Conradt,0.01110,0.85795,999.76041,-100.73234,-1.88748,Östra Station,0.76493,0.56718,5474.91951,-89181.60208,True,False,-49.56459
164,Conradt,1.85423,-0.78815,999.72776,-100.85292,1.73393,Biblioteket,-0.32061,-1.76456,5473.97419,-89185.39835,True,False,42.57557
165,Sturm,-0.21451,1.11275,999.91786,-100.32546,-2.44805,Alfvensalen,-2.28908,1.19470,5473.59181,-89184.80925,True,False,-60.76656
166,Sturm,2.76895,-1.68381,999.88638,-100.40049,3.70439,Biblioteket,1.55918,-1.68266,5473.92863,-89188.69001,True,False,88.39054
167,Sturm,0.41583,0.71932,999.75827,-100.76653,-1.58250,7-11,-2.05505,0.63771,5473.67311,-89184.31834,True,False,-29.32942
168,Sturm,1.68139,-1.01353,999.64552,-101.11772,2.22977,Biblioteket,-1.60791,2.89671,5474.05425,-89186.25944,True,False,33.89248
169,Conradt,2.00653,-1.34436,999.81864,-100.57960,2.95759,Biblioteket,0.43286,1.85898,5474.85293,-89186.46012,True,False,50.23579
170,Maki,2.45790,-1.25323,999.85650,-100.43722,2.75710,Biblioteket,0.54750,0.59290,5475.01611,-89186.31644,True,False,72.82303
171,Maki,-0.01260,0.92639,999.97849,-100.08271,-2.03806,Alfvensalen,-0.78881,0.61058,5477.35136,-89186.72450,True,False,-50.64096
172,Maki,1.65197,-0.44316,999.87091,-100.39172,0.97495,Lindstedvägen 24,0.44801,1.07485,5474.12507,-89187.47261,True,False,32.53394
173,Sturm,0.40386,0.13082,999.78799,-100.61891,-0.28780,Alfvensalen,2.24926,-2.61966,5472.75125,-89184.43918,True,False,-29.91291
174,Sturm,0.62276,0.31057,999.78477,-100.66555,-0.68326,Alfvensalen,0.68925,-1.48258,5473.23531,-89186.45058,True,False,-18.96947
175,Conradt,1.55344,-0.34744,999.76822,-100.72745,0.76437,Syster och Bro,-0.76538,-0.93503,5475.12880,-89182.58219,True,False,27.55597
176,Conradt,1.75139,-0.65982,999.78593,-100.63651,1.45161,Syster och Bro,1.70865,-0.27179,5473.76875,-89186.75490,True,False,0.37.46222
177,Sturm,2.31065,-1.09402,999.97276,-100.11664,2.40685,Entré,-1.01583,1.98936,5475.88310,-89187.36954,True,False,65.51887
178,Sturm,1.70209,-0.52512,999.84281,-100.45123,1.15526,Entré,0.44169,0.53972,5473.53180,-89186.94916,True,False,35.02580
179,Sturm,1.31019,-0.01325,999.99100,-100.02933,0.02914,Östra Station,-1.09202,0.43765,5473.41321,-89186.94888,True,False,15.50476
180,Maki,2.02822,-1.11444,999.82997,-100.51053,2.45176,Biblioteket,0.23813,1.46190,5477.24314,-89186.43143,True,False,51.32579
181,Sturm,1.70986,-0.58790,999.61359,-101.20484,1.29338,Biblioteket,-1.11799,0.56043,5473.29924,-89184.99285,True,False,35.29997
182,Sturm,0.16831,0.75957,999.65522,-101.07105,-1.67104,Alfvensalen,-1.89554,0.66341,5474.84144,-89187.02039,True,False,-41.75689
183,Sturm,2.06685,-0.79340,999.64541,-101.10420,1.74549,Biblioteket,0.09994,-0.02488,5475.30158,-89184.42341,True,False,53.16537
184,Sturm,1.60798,-0.54436,999.82066,-100.58252,1.19759,Syster och Bro,-0.75710,3.47862,5477.18729,-89186.57984,True,False,30.30913
185,Sturm,-0.75717,1.79760,999.83538,-100.57374,-3.95473,Entré,-1.23475,0.62872,5476.00585,-89185.65587,True,False,-87.94089
186,Conradt,0.58345,0.67691,999.87450,-100.36770,-1.48920,Östra Station,0.12317,0.36320,5475.87806,-89184.81324,True,False,-20.89048
