,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1031,1.32012,-0.24591,999.75683,-100.72176,0.54100,Entré,0.14556,-0.13975,5479.10190,-89185.03375,True,False,15.88433
1032,1.30738,-0.60490,999.82006,-100.56047,1.33077,Syster och Bro,0.11464,0.39752,5477.42739,-89182.97061,True,False,15.27912
1033,-0.88841,2.18460,999.90134,-100.31662,-4.80611,Biblioteket,0.47068,0.44508,5473.93410,-89187.85962,True,False,-94.46989
1034,1.43483,-0.25082,999.89751,-100.32170,0.55180,Alfvensalen,0.96675,0.54190,5478.70536,-89184.45408,True,False,21.69034
1035,0.90843,0.12948,999.95714,-100.16219,-0.28487,Östra Station,-0.44517,-0.66896,5477.09503,-89185.33528,True,False,-4.59990
1036,1.09472,-0.09786,999.75293,-100.78223,0.21529,Entré,0.14797,0.63509,5478.37595,-89189.34417,True,False,4.61229
1037,1.49371,-0.50572,999.87647,-100.40101,1.11259,Lindstedvägen 24,2.07317,-3.52088,5475.13336,-89185.57484,True,False,24.62397
1038,0.12055,0.76071,999.73110,-100.77876,-1.67357,7-11,-0.71499,-0.07391,5475.25937,-89183.00244,True,False,-44.10698
1039,-0.28138,1.20242,999.71654,-100.82426,-2.64531,Östra Station,-1.82254,1.46290,5474.46472,-89187.12515,True,False,-64.21073
1040,1.81721,-0.72924,999.90632,-100.32022,1.60432,Entré,-0.66722,-2.39724,5473.92015,-89186.40698,True,False,40.81385
1041,1.65638,-0.64231,999.71441,-100.86436,1.41308,Biblioteket,-0.97020,-2.04809,5480.28597,-89189.46585,True,False,32.67619
1042,0.46160,0.32892,999.69021,-100.93015,-0.72362,Lindstedvägen 24,-1.14905,-0.57843,5473.46579,-89186.77653,True,False,-27.07500
1043,2.91209,-1.91884,999.70140,-100.90059,4.22145,Biblioteket,-1.15835,0.77365,5475.05467,-89187.15663,True,False,95.45522
1044,1.28945,-0.37078,999.91164,-100.29777,0.81571,Alfvensalen,0.35525,-0.41821,5478.95662,-89184.54001,True,False,14.42818
1045,2.19945,-1.31467,999.80113,-100.59534,2.89228,Biblioteket,-0.57026,-0.87408,5474.24872,-89188.06141,True,False,59.87330
1046,1.88744,-0.88836,999.75549,-100.71215,1.95440,Biblioteket,0.81671,0.95130,5475.32659,-89184.08127,True,False,44.24972
1047,1.20256,0.10305,999.86181,-100.43758,-0.22671,7-11,-0.17028,-0.06614,5478.10966,-89183.99442,True,False,10.05897
1048,-0.41285,1.66840,999.68510,-100.92339,-3.67047,7-11,-1.95090,2.34492,5474.75709,-89186.89379,True,False,-70.80006
1049,1.18228,-0.03943,999.90181,-100.35009,0.08675,7-11,-1.53085,2.71657,5474.30751,-89186.19894,True,False,9.06476
1050,2.31902,-1.27254,999.88784,-100.33836,2.79958,Biblioteket,0.57794,-1.06775,5474.87963,-89183.54273,True,False,65.89503
1051,-0.35328,1.31257,999.74189,-100.77788,-2.88764,7-11,0.11038,0.30506,5473.28441,-89186.90356,True,False,-67.79282
1052,0.86318,-0.04744,999.73339,-100.80648,0.10437,Entré,-0.12222,0.25147,5472.88111,-89188.57950,True,False,-6.97412
1053,0.60252,0.46202,999.88005,-100.38329,-1.01644,Östra Station,-0.83705,-1.29963,5476.71033,-89187.34373,True,False,-19.93410
1054,0.15711,0.86504,999.80705,-100.58520,-1.90309,Östra Station,-0.70558,1.62863,5473.53690,-89185.52845,True,False,-42.24080
1055,1.09084,-0.03395,999.85250,-100.46491,0.07468,Alfvensalen,-1.59093,0.35638,5474.77263,-89186.19305,True,False,4.46837
1056,2.06052,-1.08485,999.93559,-100.19406,2.38667,Syster och Bro,-0.31096,1.92849,5475.19997,-89186.10193,True,False,52.99392
1057,1.11003,-0.13400,999.87877,-100.42041,0.29480,Alfvensalen,2.40252,-0.21052,5476.03714,-89183.68109,True,False,5.44094
1058,2.40560,-1.43614,999.78810,-100.70492,3.15952,Biblioteket,-0.09369,-1.32924,5473.33991,-89186.60414,True,False,70.17425
1059,1.73033,-0.82514,999.90709,-100.29412,1.81531,Entré,-0.55898,0.33337,5477.63131,-89184.65671,True,False,36.46991
1060,1.25412,0.01981,999.82625,-100.54201,-0.04358,Alfvensalen,-0.81523,0.26988,5479.03314,-89184.77975,True,False,12.61938
1061,-0.30605,1.40236,999.87441,-100.37499,-3.08519,Lindstedvägen 24,1.23000,2.73891,5476.33893,-89182.98568,True,False,-65.36553
1062,2.42675,-1.32167,999.84251,-100.46454,2.90768,Biblioteket,1.14707,-0.49190,5477.19092,-89186.61379,True,False,71.25862
1063,1.64363,-0.71780,999.96339,-100.15937,1.57915,Lindstedvägen 24,0.33998,-2.21315,5473.73569,-89185.33654,True,False,32.16313
1064,1.32375,-0.29424,999.63031,-101.11919,0.64733,Biblioteket,-0.71429,-0.17167,5475.34098,-89185.38508,True,False,16.00263
1065,2.93986,-1.90945,999.87375,-100.40372,4.20080,Biblioteket,-0.69503,-2.95997,5478.18203,-89189.15451,True,False,96.92998
1066,2.77024,-2.04919,999.87456,-100.36930,4.50822,Biblioteket,1.32124,-1.75371,5480.32845,-89187.99612,True,False,88.44929
1067,1.42588,-0.56096,999.97931,-100.07883,1.23410,Alfvensalen,1.18833,0.25180,5470.73810,-89186.93499,True,False,21.28372
1068,-1.16479,2.32842,999.69807,-100.91919,-5.12253,Entré,-0.75290,2.82919,5475.33980,-89182.39160,True,False,-108.39022
1069,0.98948,-0.21567,999.81769,-100.58572,0.47447,Lindstedvägen 24,-1.85986,-2.75335,5473.51130,-89186.99824,True,False,-0.61703
1070,-1.81164,2.74102,999.80216,-100.59775,-6.03025,Biblioteket,0.95534,-0.23096,5475.19122,-89184.42015,True,False,-140.68087
1071,2.51609,-1.84134,999.73041,-100.82578,4.05094,Biblioteket,1.82738,3.80479,5476.25958,-89183.84258,True,False,75.66976
1072,1.60342,-0.67734,999.80312,-100.59011,1.49014,Syster och Bro,-0.15101,-0.00344,5477.86618,-89185.83107,True,False,30.07251
1073,-0.92672,1.84765,999.83210,-100.51611,-4.06482,Entré,-0.42750,-0.11827,5474.28485,-89186.45404,True,False,-96.42011
1074,0.47718,0.67090,999.78823,-100.68193,-1.47597,7-11,-1.17106,0.41362,5474.07705,-89184.54411,True,False,-26.24676
1075,2.29517,-1.14526,999.97077,-100.12317,2.51958,Syster och Bro,0.16990,0.16707,5474.39040,-89187.21457,True,False,64.74379
1076,1.59973,-0.59542,999.87615,-100.37960,1.30993,Entré,0.91293,0.43746,5475.62359,-89186.46615,True,False,29.92452
1077,1.05743,-0.04180,999.78395,-100.64632,0.09197,Lindstedvägen 24,-0.09912,1.61503,5473.46090,-89186.77762,True,False,2.76333
1078,2.24683,-1.37728,999.88559,-100.33736,3.03001,Biblioteket,1.03905,2.06064,5475.49561,-89186.65021,True,False,62.28419
1079,0.02991,0.92419,999.84990,-100.51253,-2.03323,7-11,0.09732,-1.29446,5473.82046,-89185.90435,True,False,-48.57945
1080,2.45531,-1.20003,999.91336,-100.27421,2.64007,Biblioteket,0.43186,0.13152,5477.97494,-89185.09245,True,False,72.72215
1081,1.47106,-0.50263,999.74265,-100.75734,1.10579,Syster och Bro,0.67090,0.06470,5477.40955,-89187.07765,True,False,23.42455
1082,2.27346,-1.33360,999.91103,-100.28214,2.93391,Biblioteket,1.02927,-1.11160,5477.22045,-89186.74929,True,False,63.62870
1083,-0.42842,1.20894,999.88955,-100.36148,-2.65966,Alfvensalen,-0.88832,0.90971,5475.05445,-89184.86699,True,False,-71.47642
1084,0.65232,0.47593,999.72776,-100.82064,-1.04706,Alfvensalen,0.19365,1.14978,5473.46534,-89185.29918,True,False,-17.51995
1085,0.73159,0.49417,999.95828,-100.14414,-1.08718,7-11,1.33790,-2.35369,5474.57045,-89186.16527,True,False,-13.44159
1086,0.51554,0.63219,999.82066,-100.52028,-1.39081,Östra Station,0.78761,-1.34544,5474.29650,-89186.83541,True,False,-24.31287
1087,1.23446,-0.23464,999.81190,-100.59184,0.51622,Lindstedvägen 24,0.40147,0.16684,5476.39707,-89186.37987,True,False,11.62912
1088,1.44564,-0.20652,999.97457,-100.10513,0.45435,7-11,-0.62627,0.89507,5474.51387,-89184.06587,True,False,22.26916
1089,1.97823,-1.01155,999.69777,-100.93750,2.22540,Biblioteket,-1.34393,-2.15444,5476.19739,-89187.95333,True,False,48.76039
1090,2.11660,-1.28920,999.87332,-100.40176,2.83624,Biblioteket,-2.38355,1.99173,5475.31550,-89188.46699,True,False,55.76658
1091,0.47584,0.56810,999.81117,-100.55131,-1.24982,Östra Station,2.56269,-1.50526,5477.45713,-89190.06834,True,False,-26.30220
1092,0.93740,0.01413,999.84351,-100.45968,-0.03108,Alfvensalen,-2.56784,-1.70841,5478.90061,-89189.00317,True,False,-3.20821
1093,1.63057,-0.78567,999.74281,-100.79661,1.72846,Biblioteket,0.41427,1.19888,5474.21317,-89185.44096,True,False,31.40000
1094,2.01681,-0.81564,999.82611,-100.53378,1.79440,Syster och Bro,-0.66359,-0.42568,5479.52558,-89184.54893,True,False,50.75348
1095,1.43512,-0.34721,999.81366,-100.58266,0.76385,Entré,0.12204,-0.39805,5477.10619,-89186.56942,True,False,21.66262
1096,0.67144,0.61747,999.90048,-100.30691,-1.35844,7-11,0.38775,0.55615,5473.94437,-89185.91440,True,False,-16.47751
1097,2.64516,-2.01988,999.68962,-100.96864,4.44373,Biblioteket,-2.68375,-0.59410,5474.55897,-89186.82496,True,False,82.10277
1098,0.89221,-0.16474,999.82614,-100.53071,0.36243,Lindstedvägen 24,-0.49415,-1.27261,5478.35717,-89187.59553,True,False,-5.47627
1099,0.82457,-0.01489,999.69384,-100.94076,0.03275,Syster och Bro,-1.79471,1.36786,5475.48027,-89186.21486,True,False,-8.92441
1100,0.81334,0.38403,999.66522,-100.98940,-0.84487,Lindstedvägen 24,-0.50234,1.21510,5474.30405,-89186.75959,True,False,-9.50054
1101,0.88240,0.12845,999.69882,-100.93318,-0.28258,Entré,-0.03062,0.76710,5477.42892,-89188.64789,True,False,-6.03039
1102,0.34156,0.82878,999.97379,-100.08461,-1.82331,Alfvensalen,0.59304,-1.16870,5471.96235,-89184.46413,True,False,-32.93512
1103,0.58573,0.55060,999.64939,-101.06907,-1.21131,Lindstedvägen 24,1.02992,-0.22990,5474.57731,-89186.09584,True,False,-20.88889
1104,0.94633,-0.04161,999.80435,-100.61165,0.09155,Lindstedvägen 24,1.29023,1.59155,5473.63642,-89185.73219,True,False,-2.78128
1105,0.40377,0.47683,999.65111,-101.03660,-1.04902,Lindstedvägen 24,-1.93162,1.63741,5474.50933,-89186.70118,True,False,-29.98575
1106,2.69641,-1.62302,999.71893,-100.86298,3.57065,Biblioteket,0.35377,1.72028,5474.19163,-89185.01400,True,False,84.68000
1107,-0.07316,1.19212,999.88456,-100.35911,-2.62266,Alfvensalen,0.35511,-0.08765,5473.82893,-89185.50316,True,False,-53.71585
1108,0.11958,0.85075,999.97977,-100.06898,-1.87165,Alfvensalen,0.77624,0.06829,5473.43292,-89185.59724,True,False,-44.03129
1109,-0.23494,1.56242,999.69918,-100.94924,-3.43733,7-11,1.14552,-1.37449,5474.86730,-89184.56668,True,False,-61.89731
1110,1.49589,-0.51736,999.71335,-100.85942,1.13819,Biblioteket,-0.00539,-2.00150,5473.98688,-89186.72303,True,False,24.65099
1111,0.11990,0.59806,999.74215,-100.75436,-1.31572,7-11,-0.14895,0.21501,5471.45979,-89186.07808,True,False,-44.13401
1112,0.45564,0.62180,999.73140,-100.82857,-1.36796,7-11,0.62334,-1.14382,5476.52443,-89183.31615,True,False,-27.35251
1113,-0.18081,1.11628,999.94625,-100.24767,-2.45581,Alfvensalen,-0.35360,1.07354,5474.51323,-89184.97339,True,False,-59.06760
1114,1.75434,-0.62800,999.94955,-100.17590,1.38160,Lindstedvägen 24,-0.99577,-0.26172,5471.96441,-89184.69118,True,False,37.69173
1115,0.18169,1.01446,999.82927,-100.50876,-2.23182,7-11,-1.05071,0.52758,5475.53136,-89184.89108,True,False,-41.00066
1116,0.98491,-0.30810,999.86578,-100.38770,0.67783,Alfvensalen,0.82266,0.88611,5474.25906,-89185.30926,True,False,-0.82167
1117,1.10063,-0.11152,999.71597,-100.82775,0.24535,Entré,0.85595,1.09867,5477.88869,-89188.40284,True,False,4.88967
1118,0.90254,0.00461,999.72866,-100.87411,-0.01014,Entré,0.17123,-2.56882,5475.10559,-89186.80141,True,False,-5.00884
1119,1.45298,-0.33131,999.66729,-101.00997,0.72889,Biblioteket,-0.38828,-2.17712,5474.11358,-89185.27409,True,False,22.48263
1120,-1.07873,1.99228,999.92057,-100.26739,-4.38302,Biblioteket,1.15669,1.02429,5477.45076,-89187.91109,True,False,-103.97627
1121,1.27414,-0.40518,999.96062,-100.16027,0.89140,Alfvensalen,-0.65430,-0.16071,5475.58134,-89187.15485,True,False,13.68724
1122,2.64258,-1.76676,999.84262,-100.48136,3.88686,Biblioteket,-0.26433,0.34594,5478.91577,-89185.06627,True,False,82.05048
1123,2.18284,-1.51350,999.93269,-100.24199,3.32971,Biblioteket,1.77461,-0.65890,5477.22927,-89186.67498,True,False,59.10852
1124,-1.68668,2.63216,999.82738,-100.52345,-5.79075,Biblioteket,0.96116,-0.78568,5475.17928,-89187.59985,True,False,-134.42008
1125,1.03380,0.02703,999.80482,-100.59822,-0.05946,Alfvensalen,-0.15467,0.63702,5472.90775,-89185.66119,True,False,1.59226
1126,1.10952,0.29306,999.91550,-100.26409,-0.64472,Östra Station,0.10558,-0.95181,5475.09413,-89187.00586,True,False,5.43373
1127,3.35894,-2.24893,999.72179,-100.82936,4.94765,Biblioteket,-0.55324,1.03522,5475.84901,-89184.49320,True,False,117.80766
1128,2.72520,-1.87144,999.84074,-100.45711,4.11717,Biblioteket,-0.79041,-2.69759,5481.07399,-89188.51013,True,False,86.18053
1129,0.69722,0.18489,999.90664,-100.29949,-0.40677,Östra Station,-0.47578,-0.03465,5477.54989,-89186.34323,True,False,-15.18559
1130,0.71649,0.33805,999.82341,-100.56517,-0.74372,7-11,-1.48646,0.34366,5476.34970,-89183.93841,True,False,-14.26400
1131,1.77573,-0.95951,999.80828,-100.58335,2.11093,Biblioteket,-0.76096,0.62132,5477.46289,-89187.72546,True,False,38.69048
1132,0.95234,-0.02377,999.89962,-100.31544,0.05229,7-11,-1.93708,-2.30125,5474.55440,-89187.92043,True,False,-2.43336
1133,1.33310,-0.48876,999.74978,-100.78829,1.07526,Syster och Bro,-0.02703,1.44232,5473.68450,-89186.52715,True,False,16.52969
1134,0.52237,0.63647,999.80113,-100.62999,-1.40024,Östra Station,-3.00235,0.52231,5474.17984,-89184.94104,True,False,-23.98118
1135,0.45187,0.70719,999.88890,-100.34631,-1.55581,7-11,0.01858,1.43819,5474.36047,-89187.04132,True,False,-27.46214
1136,0.97316,0.06704,999.76070,-100.71483,-0.14749,Lindstedvägen 24,1.09679,-1.56412,5477.22213,-89182.61106,True,False,-1.46172
1137,2.68252,-1.84409,999.88232,-100.39290,4.05700,Biblioteket,0.84475,1.58287,5473.95823,-89186.99122,True,False,84.06695
1138,-0.67809,1.86672,999.72438,-100.88827,-4.10677,Alfvensalen,-1.86706,0.51948,5473.69801,-89186.42034,True,False,-84.04235
1139,-0.98423,2.16613,999.73017,-100.79535,-4.76548,Entré,-1.79974,-0.34892,5473.41928,-89185.15745,True,False,-99.34652
1140,2.10926,-1.17822,999.65893,-101.03526,2.59209,Biblioteket,-0.94493,-0.78731,5474.00266,-89187.77490,True,False,55.29247
1141,1.75775,-0.76833,999.88694,-100.38129,1.69032,Syster och Bro,1.83161,0.39225,5473.64029,-89184.27901,True,False,37.83121
1142,-0.18492,0.94299,999.81346,-100.59186,-2.07458,Östra Station,-0.88553,-1.73403,5474.73088,-89187.09699,True,False,-59.33934
1143,1.88959,-0.87764,999.80260,-100.57474,1.93081,Biblioteket,1.94758,2.51291,5475.74117,-89187.29657,True,False,44.38068
1144,-0.19215,1.35700,999.69271,-100.93491,-2.98541,Östra Station,-0.11804,1.30634,5472.81427,-89184.38133,True,False,-59.76091
1145,0.62140,0.37535,999.85683,-100.46456,-0.82576,7-11,-0.28537,1.90565,5473.48799,-89186.28272,True,False,-19.00172
1146,0.61704,0.11857,999.87313,-100.44912,-0.26086,7-11,-3.10870,2.91591,5474.02306,-89188.70970,True,False,-19.21124
1147,1.24022,-0.25082,999.82459,-100.59208,0.55181,Lindstedvägen 24,2.66234,1.28617,5475.68417,-89185.35052,True,False,11.92337
1148,0.36086,0.89820,999.71780,-100.89181,-1.97603,7-11,-2.00026,-0.73267,5473.34267,-89186.68476,True,False,-32.09822
1149,0.75458,0.21817,999.84102,-100.48247,-0.47997,7-11,-0.19780,-0.83086,5473.76296,-89187.92360,True,False,-12.35047
1150,-0.72390,1.85145,999.79410,-100.63832,-4.07319,Lindstedvägen 24,0.35279,0.41363,5475.81887,-89185.78995,True,False,-86.29816
1151,0.50176,0.26411,999.81205,-100.55893,-0.58105,7-11,0.39051,0.94985,5478.73237,-89188.10034,True,False,-25.00594
1152,1.96730,-1.32925,999.91625,-100.24025,2.92436,Biblioteket,0.48180,-1.03585,5473.90781,-89185.30424,True,False,48.32310
1153,0.00203,1.08044,999.89859,-100.32035,-2.37696,Alfvensalen,0.84578,-1.55482,5474.10093,-89183.64094,True,False,-49.94940
1154,1.55398,-0.47083,999.75644,-100.76870,1.03582,Syster och Bro,-1.40045,-1.15080,5473.53546,-89185.60452,True,False,27.57743
1155,0.44913,0.60297,999.75670,-100.77174,-1.32653,7-11,-1.15198,-0.99434,5475.92468,-89185.52915,True,False,-27.66536
1156,2.14976,-1.33103,999.83101,-100.49775,2.92827,Biblioteket,-0.20897,-0.46951,5474.91361,-89187.00675,True,False,57.40367
1157,1.29441,-0.19624,999.93013,-100.21043,0.43173,7-11,-0.78600,0.83371,5468.87007,-89185.80735,True,False,14.68570
1158,-0.48497,1.45910,999.80541,-100.60542,-3.21002,Alfvensalen,0.21203,1.78440,5477.05871,-89188.13261,True,False,-74.34560
1159,1.53779,-0.43356,999.88143,-100.35034,0.95384,Lindstedvägen 24,0.08150,-2.39350,5471.98432,-89186.18554,True,False,26.83024
1160,0.73416,0.21536,999.66956,-101.03385,-0.47380,Entré,0.30076,-0.90316,5473.77455,-89185.23054,True,False,-13.45699
1161,0.25907,0.80660,999.85086,-100.49666,-1.77452,Östra Station,1.19706,0.65610,5477.94939,-89187.65297,True,False,-37.12091
1162,2.33571,-1.17741,999.74031,-100.75644,2.59029,Biblioteket,-0.08527,2.01823,5477.24957,-89188.27714,True,False,66.65552
1163,0.40011,0.67808,999.93427,-100.22268,-1.49177,7-11,1.34952,-0.23677,5478.18231,-89187.80900,True,False,-30.02738
1164,2.03370,-0.93946,999.85730,-100.42933,2.06680,Syster och Bro,0.92169,0.62250,5474.17722,-89184.64664,True,False,51.61353
1165,1.93482,-0.84873,999.69799,-100.93430,1.86721,Biblioteket,2.41983,-1.20024,5475.98784,-89185.84296,True,False,46.58988
1166,-0.72376,1.57543,999.83859,-100.52348,-3.46594,Lindstedvägen 24,-2.70514,-1.01280,5475.83029,-89184.35645,True,False,-86.26869
1167,0.14866,0.62503,999.80598,-100.63201,-1.37507,Östra Station,-0.51054,-0.86945,5472.63862,-89184.58919,True,False,-42.66383
1168,1.35192,-0.13515,999.89026,-100.32534,0.29732,Alfvensalen,-2.41994,-0.65288,5475.80492,-89185.41813,True,False,17.54106
1169,1.01041,-0.02908,999.87712,-100.44598,0.06397,Alfvensalen,2.00924,-0.03359,5473.36810,-89185.90364,True,False,0.45918
1170,0.99523,-0.10616,999.88647,-100.34866,0.23356,Alfvensalen,-0.76105,0.23837,5475.78603,-89185.70564,True,False,-0.29536
1171,0.30663,0.48987,999.94340,-100.17560,-1.07771,7-11,3.01394,-1.67724,5476.98292,-89185.52696,True,False,-34.69676
1172,0.62766,0.35175,999.75217,-100.76846,-0.77385,Alfvensalen,0.50476,3.30813,5475.93757,-89182.20061,True,False,-18.74103
1173,1.47785,-0.48273,999.73874,-100.78470,1.06200,Syster och Bro,-1.20107,-2.55901,5478.09190,-89187.95434,True,False,23.76202
1174,2.02979,-0.99889,999.68127,-101.00067,2.19755,Biblioteket,-0.12229,-0.71536,5474.90276,-89187.54328,True,False,51.33027
1175,1.21319,-0.39591,999.73131,-100.79980,0.87101,Syster och Bro,1.21924,0.52317,5475.06659,-89185.07615,True,False,10.52515
1176,3.55318,-2.71811,999.65574,-101.04434,5.97985,Biblioteket,1.94679,-1.03555,5472.07115,-89185.31176,True,False,127.48703
1177,1.60444,-0.62314,999.78169,-100.66051,1.37090,Syster och Bro,-0.34704,-0.44949,5473.66707,-89186.41990,True,False,30.11274
1178,1.63454,-0.40888,999.96389,-100.13146,0.89953,Alfvensalen,-0.26668,-0.54470,5471.41197,-89184.64492,True,False,31.70899
1179,2.00797,-1.12831,999.92456,-100.29381,2.48228,Syster och Bro,1.31372,-0.92461,5474.67044,-89185.82148,True,False,50.36090
1180,1.46036,-0.58456,999.91105,-100.32223,1.28602,Lindstedvägen 24,2.82683,-0.36139,5474.63966,-89184.57565,True,False,22.97334
1181,2.29914,-1.28642,999.82914,-100.51113,2.83012,Biblioteket,-1.62436,-2.01170,5473.53609,-89186.04344,True,False,64.87169
1182,0.12954,0.93550,999.75328,-100.73499,-2.05810,Östra Station,0.36934,0.61397,5478.04864,-89187.55677,True,False,-43.64640
1183,0.96374,-0.05495,999.77800,-100.63992,0.12088,Lindstedvägen 24,0.57183,-1.03044,5473.56292,-89184.05808,True,False,-1.92418
1184,-0.12753,1.08768,999.84662,-100.50309,-2.39289,7-11,-1.05756,1.37077,5473.97488,-89185.22305,True,False,-56.45326
1185,0.39768,0.63583,999.89658,-100.33257,-1.39883,Östra Station,-0.98709,0.70056,5479.48374,-89187.04531,True,False,-30.16767
1186,1.29147,-0.49502,999.84504,-100.50822,1.08905,Entré,0.49488,-0.30667,5478.36017,-89187.24376,True,False,14.49611
1187,1.22964,-0.28875,999.76418,-100.72084,0.63525,Entré,0.16952,1.51822,5474.83359,-89187.80112,True,False,11.36407
1188,1.06909,-0.00109,999.88026,-100.41831,0.00241,Alfvensalen,-0.52113,0.02375,5474.80099,-89185.42634,True,False,3.39479
1189,0.92850,0.56099,999.82257,-100.51007,-1.23417,Östra Station,-0.48116,1.93627,5474.45895,-89185.47673,True,False,-3.66386
1190,1.67324,-0.75740,999.70200,-100.87926,1.66628,Biblioteket,-1.23511,-1.32197,5473.41397,-89185.62384,True,False,33.51307
1191,0.13863,1.12151,999.88760,-100.34793,-2.46732,Alfvensalen,-0.65375,0.11756,5477.86765,-89190.37293,True,False,-43.12452
1192,-1.08240,2.00228,999.65491,-101.08495,-4.40501,Alfvensalen,1.64642,-1.78138,5475.54023,-89184.82537,True,False,-104.29260
1193,2.80239,-1.74615,999.77884,-100.66937,3.84152,Biblioteket,0.35491,0.43558,5473.51660,-89185.29222,True,False,90.00888
1194,-0.20892,1.22411,999.72628,-100.88331,-2.69304,Östra Station,-0.94456,-0.09230,5472.60215,-89185.71034,True,False,-60.58266
1195,1.56802,-0.45252,999.98101,-100.07233,0.99553,Alfvensalen,-0.29105,1.52777,5475.89943,-89184.17972,True,False,28.39145
1196,0.64759,0.52613,999.79535,-100.61356,-1.15748,7-11,0.23556,-0.44029,5480.78198,-89185.99795,True,False,-17.72306
